SatisfactionLevel,LastEvaluation,NumberProjects,AverageMonthlyHours,TimeSpentCompany,WorkAccident,PromotionLast5Years,Department,Salary,OverTime,Attrition
0.45281645502151,0.8209178746141884,4.0,223.0,3.0,1.0,1.0,Management,Low,No,Yes
0.9986780492451002,0.0452996193610186,4.0,246.0,3.0,0.0,0.0,HR,Low,No,Yes
0.72541790167445,0.1637204579594524,4.0,275.0,9.0,1.0,0.0,Support,Low,Yes,No
0.6231664732074577,0.4247585533408474,2.0,234.0,5.0,1.0,1.0,Technical,Low,Yes,No
0.2474597551746676,0.5295410375845292,2.0,233.0,3.0,0.0,0.0,Support,Low,Yes,No
0.2791528935883183,0.8036497186401349,6.0,304.0,5.0,1.0,0.0,Sales,High,Yes,No
0.1797681303483895,0.764518626797538,3.0,220.0,2.0,0.0,1.0,Sales,Medium,No,No
0.9250128216515892,0.5367790951347083,5.0,110.0,4.0,1.0,0.0,Support,Low,Yes,Yes
0.6802400148963331,0.3648225340322527,5.0,153.0,2.0,0.0,1.0,Management,Low,No,No
0.7633618485091676,0.9809879441922204,2.0,179.0,2.0,0.0,0.0,Sales,Medium,No,No
0.1246011416179761,0.4676959519439747,5.0,125.0,8.0,1.0,0.0,Sales,Low,Yes,No
0.9365515985641448,0.5309792369268524,2.0,303.0,1.0,1.0,0.0,Support,Low,No,Yes
0.7856619531258104,0.2662545323766107,6.0,151.0,7.0,1.0,1.0,Sales,Medium,No,No
0.29373013510549,0.8548573274508929,3.0,259.0,5.0,1.0,1.0,Management,Medium,No,No
0.2840794622678811,0.6766554776602436,6.0,165.0,8.0,0.0,1.0,Management,Low,Yes,No
0.1882723270445083,0.313348775733647,4.0,259.0,1.0,0.0,1.0,Management,Low,Yes,Yes
0.3347762670832852,0.1915785727552436,4.0,278.0,7.0,0.0,0.0,Technical,Low,No,No
0.5395042113204015,0.7027340364257915,4.0,102.0,5.0,1.0,1.0,Management,Medium,No,No
0.4843716882308094,0.7614602086216438,6.0,100.0,4.0,0.0,1.0,Management,Low,No,No
0.3630965793503629,0.3240607446190016,5.0,143.0,7.0,1.0,1.0,Technical,Low,No,No
0.6824431788879801,0.9583139857817424,3.0,105.0,2.0,1.0,0.0,HR,Low,Yes,No
0.1905228868863091,0.2619283103630991,4.0,97.0,1.0,0.0,0.0,Sales,Low,No,No
0.3703268030057908,0.5159049786665129,4.0,193.0,1.0,1.0,1.0,Management,High,Yes,No
0.5350732966052678,0.4725843603838961,3.0,146.0,5.0,1.0,0.0,Support,Medium,No,No
0.7955508920570084,0.6909614784370381,4.0,129.0,7.0,0.0,1.0,Sales,Low,Yes,No
0.2436356403298017,0.4739287471095538,3.0,276.0,2.0,1.0,1.0,Technical,Low,No,No
0.5398322517795124,0.3527630456918756,4.0,219.0,8.0,0.0,1.0,Sales,Low,No,No
0.5965397403797469,0.9342024543205184,6.0,183.0,4.0,0.0,1.0,Sales,Low,Yes,No
0.14276467479622,0.4744316551902161,6.0,293.0,3.0,1.0,0.0,Sales,High,No,No
0.6687219616136828,0.948458127200969,3.0,227.0,8.0,1.0,0.0,HR,Low,No,Yes
0.280936718982002,0.3276833451235077,6.0,133.0,2.0,0.0,0.0,HR,Low,No,No
0.1444346563366976,0.2667276140387744,3.0,228.0,3.0,1.0,1.0,Support,Low,Yes,No
0.9916385394357344,0.0862388399708001,6.0,296.0,3.0,1.0,1.0,Technical,Medium,Yes,No
0.969269045988902,0.7187632715434185,6.0,169.0,1.0,1.0,0.0,Sales,Low,No,No
